!SIL 1.0	SIL
IMMOVABLE 1.0	ax m uw v ax b ax l
IN 1.0	ih n
INALIENABLE 1.0	ax n ey l y ax n ax b ax l
INDIA 1.0	ih n d iy ax
INEXHAUSTIBLE 1.0	ax n ax g z ao s t ax b ax l
INQUIRERS 1.0	ax n k w ay r ax z
INTERWOVEN 1.0	ih n t ax w ow v ax n
INTO 1.0	ax n t ax
INTO 1.0	ih n t uw
IROQUOIS 1.0	ih r ax k w oy
IRRESOLUTE 1.0	ih r r eh z ax l uw t
IS 1.0	ax z
IT 1.0	ax t
ITS 1.0	ax t s
JACKDAWS 1.0	jh ae k d ao z
JOSEPH 1.0	jh ow s ax f
JOURNALISM 1.0	jh er n ax l ih z ax m
JOWLS 1.0	jh aw l z
JOYFUL 1.0	jh oy f ax l
JUDITH 1.0	jh uw d ax th
JULIET 1.0	jh uw l iy eh t
JUMPING 1.0	jh ah m p ax ng
JURIES 1.0	jh uh r iy z
KILO 1.0	k ih l ow
KNIFE 1.0	n ay f
LAMP 1.0	l ae m p
LAWYER 1.0	l ao y ax
LEFT 1.0	l eh f t
LEGISLATURE 1.0	l eh jh ax s l ey ch ax
LETHARGY 1.0	l eh th ax jh iy
LIKE 1.0	l ay k
LIMA 1.0	l iy m ax
LINE 1.0	l ay n
LONG 1.0	l ao ng
LOOK 1.0	l uh k
MADE 1.0	m ey d
MAKE 1.0	m ey k
MANY 1.0	m eh n iy
MASSACHUSETTS 1.0	m ae s ax ch uw s ax t s
MASSAGE 1.0	m ax s aa zh
MAY 1.0	m ey
MERCHANDISE 1.0	m er ch ax n d ay z
MIKE 1.0	m ay k
MISSOURI 1.0	m ax z er ax
MOISTEN 1.0	m oy s ax n
MONKEY 1.0	m ah ng k iy
MOONSHINE 1.0	m uw n sh ay n
MORE 1.0	m ao r
MORGANTOWN 1.0	m ao r g ax n t aw n
MOUSTACHE 1.0	m ah s t ae sh
MOUTH 1.0	m aw th
MULTIFLORA 1.0	m ah l t ay f l ow r ax
MY 1.0	m ay
NATHANIEL 1.0	n ax th ae n y ax l
NATURALIZATION 1.0	n ae ch r ax l ax z ey sh ax n
NAUSEA 1.0	n ao z iy ax
NEEDLEPOINT 1.0	n iy d ax l p oy n t
NEVERTHELESS 1.0	n eh v ax dh ax l eh s
NEWFOUND 1.0	n uw f aw n d
NINE 1.0	n ay n
NO 1.0	n ow
NODULE 1.0	n aa jh uw l
NOT 1.0	n aa t
NOVEMBER 1.0	n ow v eh m b ax
NOW 1.0	n aw
NOWHERE 1.0	n ow w eh r
NUMBER 1.0	n ah m b ax
NUREMBERG 1.0	n uh r ax m b ax g
OBSERVATION 1.0	aa b z ax v ey sh ax n
OF 1.0	ax v
OH 1.0	ow
OIL 1.0	oy l
ON 1.0	aa n
ONE 1.0	hh w ah n
ONE 1.0	w ah n
OR 1.0	ao r
ORANGE 1.0	ao r ax n jh
OSCAR 1.0	ao s k ax
OTHER 1.0	ah dh ax
OUT 1.0	aw t
OUTPUT 1.0	aw t p uh t
OVERSHADOWED 1.0	ow v ax sh ae d ow d
PAJAMAS 1.0	p ax jh ae m ax z
PAPA 1.0	p aa p ax
PARAGRAPH 1.0	p ae r ax g r ae f
PARAGRAPH 1.0	p eh r ax g r ae f
PART 1.0	p aa r t
PASTE 1.0	p ey s t
PENCIL 1.0	p eh n s ax l
PENNSYLVANIA 1.0	p eh n s ax l v ey n y ax
PENNYWORTH 1.0	p eh n iy w ax th
PEOPLE 1.0	p iy p ax l
PERPETUAL 1.0	p ax p eh ch uw ax l
PLANE 1.0	p l ey n
PLOUGHSHARE 1.0	p l aw sh eh r
POWWOW 1.0	p aw w aw
PRAISEWORTHY 1.0	p r ey z w er dh iy
PROFESSIONALS 1.0	p r ax f eh sh ax n ax l z
PROMULGATE 1.0	p r ow m ah l g ey t
PROTEGE 1.0	p r ow t ax zh ey
PSYCHOLOGICAL 1.0	s ay k ax l aa jh ax k ax l
PYTHON 1.0	p ay th ax n
QUACK 1.0	k w ae k
QUADRUPLED 1.0	k w ax d r uw p ax l d
QUEBEC 1.0	k w ax b eh k
RABBIT 1.0	r ae b ax t
RE-UNITED 1.0	r iy uw n ay t ax d
REFUGEE 1.0	r eh f y uw jh iy
REGIME 1.0	r ey zh iy m
REJOINDER 1.0	r iy jh oy n d ax
RENDEZVOUS 1.0	r aa n d ax v uw
RESOUND 1.0	r iy s aw n d
REWARD 1.0	r ax w ao r d
RIGHT 1.0	r ay t
RIGHTEOUS 1.0	r ay ch ax s
RING 1.0	r ih ng
ROLY-POLY 1.0	r ow l iy p ow l iy
ROMEO 1.0	r ow m iy ow
ROOF 1.0	r uh f
SAID 1.0	s eh d
SANDPIPERS 1.0	s ae n d p ay p ax z
SAWYER 1.0	s oy ax
SCHOOLYARD 1.0	s k uw l y aa r d
SCISSORS 1.0	s ih z ax z
SCULLION 1.0	s k ah l y ax n
SEE 1.0	s iy
SENTENCE 1.0	s eh n t ax n s
SEVEN 1.0	s eh v ax n
SHARPSHOOTER 1.0	sh aa r p sh uw t ax
SHE 1.0	sh iy
SHIFT 1.0	sh ih f t
SHOUT 1.0	sh aw t
SHOVEL 1.0	sh ah v ax l
SIERRA 1.0	s iy eh r ax
SILMARKER 1.0	sil
SIX 1.0	s ih k s
SKYWARD 1.0	s k ay w ax d
SLIDE 1.0	s l ay d
SO 1.0	s ow
SOME 1.0	s ah m
SOOTHING 1.0	s uw dh ax ng
SOUTHEAST 1.0	s aw th iy s t
SOUTHEASTERLY 1.0	s aw th iy s t ax l iy
SPOON 1.0	s p uw n
STARS 1.0	s t aa r z
STRINGY 1.0	s t r ih ng iy
SUGAR 1.0	sh uh g ax
SUPERVISION 1.0	s uw p ax v ih zh ax n
SUPREME 1.0	s ax p r iy m
SWIMMING 1.0	s w ih m ax ng
SWOON 1.0	s w uw n
SYMPATHIZE 1.0	s ih m p ax th ay z
TAB 1.0	t ae b
TANGO 1.0	t ae ng g ow
TELEPHONE 1.0	t eh l ax f ow n
THAN 1.0	dh ae n
THAT 1.0	dh ae t
THAT 1.0	dh ax t
THE 1.0	dh ah
THEIR 1.0	dh eh r
THEM 1.0	dh eh m
THEN 1.0	dh eh n
THERE 1.0	dh eh r
THESE 1.0	dh iy z
THEY 1.0	dh ey
THINE 1.0	dh ay n
THIRTY-FIVE 1.0	th er d iy f ay v
THIS 1.0	dh ax s
THOU 1.0	dh aw
THREE 1.0	th r iy
THUMB 1.0	th ah m
TIME 1.0	t ay m
TO 1.0	t uw
TOIL 1.0	t oy l
TOOTHACHE 1.0	t uw th ey k
TREE 1.0	t r iy
TWO 1.0	t uw
UNIFORM 1.0	y uw n ax f ao r m
UNUSUAL 1.0	ax n y uw zh uw ax l
UNYIELDING 1.0	ax n y iy l d ax ng
UP 1.0	ah p
UPWARD 1.0	ah p w ax d
USE 1.0	y uw z
VACUUM 1.0	v ae k y uw m
VICTOR 1.0	v ih k t ax
VOUCHSAFE 1.0	v aw ch s ey f
VOYAGE 1.0	v oy ax jh
WAGON 1.0	w ae g ax n
WAS 1.0	w aa z
WAS 1.0	w ao z
WAS 1.0	w ax z
WASHERWOMAN 1.0	w aa sh ax w uh m ax n
WATCH 1.0	w aa ch
WATCHES 1.0	w aa ch ax z
WATER 1.0	w ao t ax
WAY 1.0	w ey
WE 1.0	w iy
WERE 1.0	w er
WHAT 1.0	w aa t
WHAT 1.0	w ah t
WHEN 1.0	hh w eh n
WHEN 1.0	w eh n
WHEREWITHAL 1.0	w eh r w ax dh ao l
WHICH 1.0	hh w ih ch
WHICH 1.0	w ih ch
WHISKEY 1.0	hh w ih s k iy
WHISKEY 1.0	w ih s k iy
WHO 1.0	hh uw
WILL 1.0	w ax l
WINDOW 1.0	w ih n d ow
WITH 1.0	w ax th
WITHOUT 1.0	w ax dh aw t
WORD 1.0	w er d
WOULD 1.0	w uh d
WRITE 1.0	r ay t
X-RAY 1.0	eh k s r ey
YALE 1.0	y ey l
YANKEE 1.0	y ae ng k iy
YELLOW 1.0	y eh l ow
YES 1.0	y eh s
YOU 1.0	y uw
YOUR 1.0	y ao r
ZERO 1.0	z ih r ow
ZIPPER 1.0	z ih p ax
ZULU 1.0	z uw l uw
